"Word","Translation","Prediction_vanilla","Prediction_attention","Result_attention"
"liphaaphaa","लिफ़ाफ़ा","लिफाफ़ा","लिफ़ाफ़ा","Yes"
"sipahi","सिपाही","सिपही","सिपाही","Yes"
"usak","उसक","उसकक","उसक","Yes"
"mhathir","महाथिर","मथथिर","महाथिर","Yes"
"grahankaal","ग्रहणकाल","ग्रहनकाल","ग्रहणकाल","Yes"
"bhilai","भिलाई","भिलैई","भिलाई","Yes"
"ghrutakumaaree","घृतकुमारी","घुरतकुमारी","घृतकुमारी","Yes"
"neuroscientists","न्यूरोसाइंटिस्ट्स","न्यूरोसिंसिट्सिट","न्यूरोसाइंटिस्ट्स","Yes"
"danbury","डेनबरी","डैनबुरी","डेनबरी","Yes"
"sappaanwaalee","सप्पांवाली","सप्पावाली","सप्पांवाली","Yes"
"nikharen","निखारें","निखरें","निखारें","Yes"
"brahmapur","ब्रह्मपुर","ब्रह्मापुर","ब्रह्मपुर","Yes"
"substensis","सबस्टेंसिस","सब्सटेंसिस","सबस्टेंसिस","Yes"
"handiyaa","हंडिया","हंदिया","हंडिया","Yes"
"sarvjaateeya","सर्वजातीय","सर्वजतीय","सर्वजातीय","Yes"
"pitts","पिट्स","पिट्स्स","पिट्स","Yes"
"layton","लेटन","लेयटन","लेटन","Yes"
"pardesiyon","परदेसियों","पर्देसियों","परदेसियों","Yes"
"stray","स्ट्रे","स्ट्रेय","स्ट्रे","Yes"
"aalsi","आलसी","आल्सि","आलसी","Yes"
"view","व्यू","वीयव","व्यू","Yes"
"rehaana","रेहाना","रहाना","रेहाना","Yes"
"koshadhikaari","कोषाधिकारी","कोषधाकिरारी","कोषाधिकारी","Yes"
"aaryanas","आर्यनस","आर्यनास","आर्यनस","Yes"
"colan","कोलन","कोलैन","कोलन","Yes"
"bhusi","भूसी","भुसी","भूसी","Yes"
"aswbhavik","अस्वभाविक","अस्वभ्विक","अस्वभाविक","Yes"
"kathhnaeeyon","कठनाईयों","कठनाइयों","कठनाईयों","Yes"
"lalkrishna","लालकृष्ण","लालकृष्णा","लालकृष्ण","Yes"
"villa","विला","विल्ला","विला","Yes"
"rishiraj","ऋषिराज","ऋषिरजज","ऋषिराज","Yes"
"oklahoma","ओक्लाहोमा","ओकलाहोमा","ओकलाहोमा","Yes"
"tugalki","तुगलकी","तुगलकि","तुगलकी","Yes"
"programmers","प्रोग्रामर्स","प्रोग्रामर्मर्स","प्रोग्रामर्स","Yes"
"gurdon","गुर्दों","गुरदों","गुर्दों","Yes"
"dynamatic","डायनामेटिक","डायनेमेटिक","डायनामेटिक","Yes"
"vidyuteekrit","विद्युतीकृत","विद्युतिकृत","विद्युतीकृत","Yes"
"ved","वेड","वेद्","वेड","Yes"
"aaryam","आर्यम्","आर्यम","आर्यम्","Yes"
"shankacharaachaarya","शंकचराचार्य","शंकचराच्यार्य","शंकचराचार्य","Yes"
"offshore","ऑफशोर","ओफशार","ऑफशोर","Yes"
"rockford","रॉकफोर्ड","रॉकफार्ड","रॉकफोर्ड","Yes"
"ocoee","ओकोई","ओकीय","ओकोई","Yes"
"kainawij","कैनविज","कैनाविज","कैनविज","Yes"
"mukarte","मुकरते","मुकर्ते","मुकरते","Yes"
"nations","नेशंस","नेशन्स","नेशंस","Yes"
"brown","ब्राउन","ब्रॉन","ब्राउन","Yes"
"sacchidanand","सच्चिदानंद","सचिदानांद","सच्चिदानंद","Yes"
"changed","चेंज्ड","चेंजड","चेंज्ड","Yes"
"gangtok","गंगटोक","गंगतोक","गंगटोक","Yes"
"francisco","फ्रांसिस्को","फ्रेंसिक्सो","फ्रांसिस्को","Yes"
"raghavan","राघवन","रघावन","राघवन","Yes"
"introduction","इंट्रोडक्शन","इंट्रॉडक्शन","इंट्रोडक्शन","Yes"
"deerfield","डियरफील्ड","डीरफील्ड","डियरफील्ड","Yes"
"asahi","असाही","असही","असाही","Yes"
"gullaravaalaa","गुल्लरवाला","गुल्लावालाा","गुल्लरवाला","Yes"
"prapt","प्राप्त","प्राप्ट्","प्राप्त","Yes"
"oxide","ऑक्साइड","ओक्साइड","ऑक्साइड","Yes"
"shbana","शबाना","शबना","शबाना","Yes"
"preranapuree","प्रेरणापुरी","प्रेरणपुरी","प्रेरणापुरी","Yes"
